lv,hour,bugs
1,540,387
2,721,206
3,768,43
4,872,118
5,961,107
6,1067,140
7,1133,42
8,1249,119
9,1345,144
10,1403,45
11,1446,68
12,1638,47
13,1906,170
14,1994,150
15,2078,51
16,2222,102
17,2305,107
18,2424,104
19,2577,75
20,2724,308
21,2784,45
22,2785,2
23,2906,86
24,2977,29
25,3074,154
26,3226,79
27,3335,69
28,3422,149
29,3557,53
30,3660,281
31,3742,45
32,3909,135
33,3973,187
34,4248,102
35,4320,110
36,4488,99
37,4609,102
38,4656,73
39,4686,24
40,4750,102
41,4809,66
42,4906,31
43,4955,114
44,5087,103
45,5169,116
46,5311,277
47,5399,33
48,5520,74
49,5571,53
50,5667,119
51,5723,5
52,5759,76
53,5831,62
54,5834,2
55,5900,92
56,6100,75
57,6265,91
58,6359,91
59,6528,48
60,6648,271
61,6695,52
62,6766,114
63,6864,34
64,6922,82
65,6993,46
66,7153,92
67,7370,86
68,7463,101
69,7657,95
70,7660,2
71,7754,57
72,7895,190
73,7968,51
74,8014,80
75,8255,64
76,8356,211
77,8410,107
78,8505,114
79,8654,82
80,8929,94
81,9125,151
82,9219,80
83,9275,170
84,9467,420
85,9552,221
86,9721,299
87,9817,322
88,10009,254
89,10116,159
90,10203,48
91,10448,219
92,10547,113
93,10658,114
94,10732,84
95,10788,48
96,10860,85
97,10992,104
98,11095,635
99,11145,93
100,11210,56
101,11312,72
102,11453,196
103,11534,55
104,11652,39
105,11760,185
106,11865,97
107,12009,85
108,12150,86
109,12266,2
110,12311,90
