Linus Torvalds
Thomas Gleixner
Megha Dey
Paolo Bonzini
Vitaly Kuznetsov
Marc Zyngier
Sean Christopherson
Suravee Suthikulpanit
Daniel Drake
Zhenzhong Duan
Jann Horn
Wolfram Sang
Miklos Szeredi
Amir Goldstein
Peter Xu
Dave Airlie
Lyude Paul
Davide Caratti
Heiner Kallweit
Al Viro
Jian Shen
Yonglong Liu
Ming Lei
Stefan Haberland
Kim Phillips
Ulf Hansson
Michael Auchter
Chris Packham
Andrew Lunn
Eric Dumazet
Julian Wiedmann
Paolo Lungaroni
Dominik Czarnota
Amol Grover
Jakub Kicinski
Takashi Iwai
Chris Wilson
Matthew Auld
Tina Zhang
Nathan Chancellor
Eugeniy Paltsev
Vineet Gupta
Christoph Hellwig
Tom Lendacky
Artem Savkov
Nicolas Cavallari
Christian Borntraeger
Wen Xiong
Can Guo
Dmitry Bogdanov
Juliet Kim
Karsten Graul
Hangbin Liu
Shakeel Butt
Hersen Wu
Tejun Heo
Hillf Danton
Hamish Martin
Jarkko Nikula
Qian Cai
Mika Westerberg
Jani Nikula
Marek Szyprowski
Vladimir Oltean
Dmitry Yakunin
Mahesh Bandewar
Edward Cree
Christian Brauner
Hawking Zhang
Masanari Iida
Martin Leung
Linus Walleij
Mathias Kresin
Thomas Bogendoerfer
Remi Pommarel
Jiri Wiesner
Jens Axboe
Corey Minyard
Halil Pasic
Suman Anna
Vladis Dronov
Eric Biggers
Pavel Begunkov
Ingo Molnar
Shannon Nelson
Madalin Bucur
Yangtao Li
Krzysztof Kozlowski
Miguel Ojeda
Zhang Xiaoxu
Carlo Nonato
Michael Walle
Miroslav Benes
Vlastimil Babka
OGAWA Hirofumi
Huang Ying
Mel Gorman
Ian Rogers
John Garry
Tommi Rantala
Nick Desaulniers
Peter Zijlstra
Paolo Abeni
Dan Carpenter
Jiang Lidong
Tom Zhao
Tycho Andersen
Cengiz Can
Andy Shevchenko
Jay Dolan
Yash Shah
Anup Patel
Juergen Gross
Dongli Zhang
Prike Liang
Josip Pavic
Bhawanpreet Lakha
Christian Lachner
Kailang Yang
Lucas Tanure
Wei Liu
Sasha Levin
Lukas Bulwahn
Axel Lin
Florian Westphal
Michael Ellerman
Yintian Tao
Alexandre Ghiti
Brendan Higgins
Rob Herring
Bernard Metzler
Mark Zhang
Jason Gunthorpe
Maor Gottlieb
Artemy Kovalyov
Olof Johansson
Ben Chuang
Aaro Koskinen
Fabrice Gasnier
John Stultz
Olivier Moysan
Saravana Kannan
Niklas Schnelle
Gerald Schaefer
Dinh Nguyen
Pratham Pratap
Eugeniu Rosca
Jim Lin
Dan Lazewatsky
Marco Felsch
Rikard Falkeborn
Peter Chen
Dajun Jin
Vishal Kulkarni
Hauke Mehrtens
Jonas Gorski
Jacob Keller
Vasily Averin
Russell King
Jernej Skrabec
Cyril Hrubis
Vincent Chen
Mike Snitzer
Hou Tao
Kees Cook
Felix Fietkau
Omar Sandoval
Jack Yu
Georgi Djakov
Daniel Axtens
Zhenyu Wang
Stefan Wahren
Robin Murphy
Yonghyun Hwang
Haiwei Li
Wanpeng Li
Mike Gilbert
Christophe Leroy
Dennis Dalessandro
Christophe JAILLET
Daniel Wagner
Joakim Zhang
Matt Roper
Gerd Hoffmann
Edwin Peer
Vasundhara Volam
Oliver Upton
Christian Hewitt
Randy Dunlap
Geert Uytterhoeven
Charles Keepax
Tudor Ambarus
Kuninori Morimoto
Jiri Slaby
Madhuparna Bhowmik
Erwan Velu
Valdis Kletnieks
Mikulas Patocka
Tony Luck
Amit Cohen
Stefano Garzarella
Taehee Yoo
Jiri Pirko
Tobias Klauser
Luo bin
Bijan Mottahedeh
Sherry Sun
Ravi Bangoria
He Zhe
Paul Cercueil
Thommy Jakobsson
Cong Wang
Icenowy Zheng
Vincent Guittot
Antoine Tenart
Tony Lindgren
Sudheesh Mavila
Ursula Braun
Masahiro Yamada
Florian Fainelli
Jonathan Lemon
Michal Kubecek
Amritha Nambiar
Daniel Vetter
Evan Green
Faiz Abbas
Dan Murphy
Ard Biesheuvel
Stefano Brivio
Johannes Thumshirn
Masami Hiramatsu
Vadim Pasternak
Tomeu Vizoso
Scott Mayhew
Stephen Boyd
Shirish S
Monk Liu
Xiaoguang Wang
Jan Kara
Stephen Kitt
Frieder Schrempf
Paul Burton
Dmitry Osipenko
Phong LE
Paul Moore
Zong Li
Joe Perches
Aurelien Aptel
Steve French
Ronnie Sahlberg
Adam Williamson
Nikolay Aleksandrov
Esben Haabendal
Benjamin Block
Martin Fuzzey
Dave Jiang
John Bates
Ezequiel Garcia
Hans Verkuil
Johannes Berg
Leonard Crestez
Marek Vasut
Oleksandr Suvorov
Orson Zhai
Neal Cardwell
Haiyang Zhang
Daniele Palmas
Li RongQing
Matteo Croce
Jozsef Kadlecsik
James Morse
Igor Druzhinin
Alexander Potapenko
Wei Yang
Gavin Shan
Alexandru Ardelean
Douglas Anderson
SeongJae Park
Ioanna Alifieraki
Arnd Bergmann
Guenter Roeck
Miaohe Lin
Xiaoyao Li
wanpeng li
Nicolas Belin
Filipe Manana
Logan Gunthorpe
Lukas Wunner
Yuji Sasaki
Jerome Brunet
Zenghui Yu
Andrei Otcheretianski
Guo Ren
Ma Jun
Mao Han
Tim Harvey
Roman Kiryanov
Alexandre Belloni
Qiujun Huang
Matthias Reichl
Tom Zanussi
Alexandra Winter
Grygorii Strashko
Peter Ujfalusi
Max Gurtovoy
Catalin Marinas
Scott Branden
Shijie Luo
Maxime Ripard
Thierry Reding
Rohit Maheshwari
Tomas Paukrt
Yonghong Song
Brian Vazquez
Heidi Fahim
Tomi Valkeinen
Brett Creeley
Michal Swiatkowski
Dragos Tarcatu
Parav Pandit
Keith Busch
Alex Deucher
Shyjumon N
Will Deacon
Hui Wang
Vignesh Raghavendra
Erez Shitrit
Paul Blakey
Dmytro Linkin
Hamdan Igbaria
Aya Levin
Huy Nguyen
Fabio Estevam
Josef Bacik
Jeff Mahoney
Hugh Dickins
Michal Kalderon
Vincenzo Frascino
Greentime Hu
Joerg Roedel
Hanno Zulla
Adrian Hunter
Wei Li
Thomas Richter
Tianjia Zhang
Bibby Hsieh
Sven Eckelmann
Xin Long
Jason Baron
Horatiu Vultur
Samuel Holland
Roberto Sassu
Jarkko Sakkinen
Johannes Krude
Mark Rutland
Ben Skeggs
Anson Huang
Johan Hovold
Matthieu Baerts
Mat Martineau
Arun Parameswaran
Pavel Belous
Nikita Danilov
Egor Pomozov
Igor Russkikh
Dmitry Bezrukov
Jethro Beekman
Leon Romanovsky
Benjamin Poirier
Sam Bobroff
Mark Tomlinson
Victor Kamensky
Aditya Pakki
Tyler Hicks
Evan Quan
Yi Zhang
Nigel Kirkland
Anton Eidelman
Per Forlin
William Dauchy
Guangbin Huang
Yufeng Mo
Shay Bar
Sergey Matyukevich
Benjamin Tissoires
Gaurav Agrawal
Peng Fan
Rob Clark
Harigovindan P
Trond Myklebust
Olga Kornievskaia
Chuck Lever
Aleksa Sarai
Dmitry Safonov
Rasmus Villemoes
Borislav Petkov
Harald Freudenberger
Andreas Dilger
Coly Li
Changbin Du
Zhu Yanjun
Yonatan Cohen
Yishai Hadas
Michael Guralnik
Ahmad Fatoum
Robert Richter
Dan Moulding
Hongbo Yao
Alexander Tsoy
Frank Sorenson
Tomas Henzl
Taniya Das
Andrea Parri
Boris Brezillon
satya priya
Fugang Duan
Tony Nguyen
Ben Shelton
Anirudh Venkataramanan
Bruce Allan
Paul Greenwalt
Dave Ertman
Eric Auger
Michal Simek
Kunihiko Hayashi
Richard Dodd
Mathias Nyman
Firo Yang
Stephan Gerhold
Anand Jain
Jakub Sitnicki
David Sterba
Wenwen Wang
Johan Korsnes
Mansour Behabadi
Maarten Lankhorst
Arthur Kiyanovski
Sameeh Jubran
Guchun Chen
Sung Lee
Nicholas Kazlauskas
James Zhu
Jonathan Kim
Daniel Kolesa
Isabel Zhang
Yongqiang Sun
Aric Cyr
Jiri Olsa
Vasily Gorbik
Arvind Sankar
Krishnamraju Eraparaju
Avihai Horon
Roman Li
Patrice Chotard
Xiubo Li
Ilya Dryomov
Kaike Wan
Mike Marciniszyn
Jordan Crouse
Kamal Heib
Kalyan Thota
Brian Masney
Magnus Karlsson
Kan Liang
Suren Baghdasaryan
Oded Gabbay
Omer Shpigelman
Sergey Organov
Minas Harutyunyan
Jack Pham
John Keeping
Sean Paul
Evan Benn
Jiri Benc
Nikita Sobolev
Bartosz Golaszewski
John Fastabend
Nicolas Pitre
James Morris
Grant Likely
Nicolas Ferre
Daniel Golle
Alan Stern
EJ Hsu
Hardik Gajjar
Larry Finger
Luca Weiss
Alistair Delva
Malcolm Priestley
Petr Pavlu
Kai Vehmanen
Paul Thomas
Anshuman Khandual
Kent Gibson
Tuong Lien
Chen Wandun
Jagan Teki
Mike Jones
Jean Delvare
Vandita Kulkarni
Vivek Kasireddy
Lorenzo Bianconi
Lorenz Bauer
Eric Sandeen
Chen Zhou
Ido Schimmel
Razvan Stefanescu
Sara Sharon
Voon Weifeng
Dejin Zheng
David Howells
Tariq Toukan
Raed Salem
Mauro Rossi
Andreas Gruenbacher
Abhi Das
Vivek Goyal
Daniel Thompson
Mohan Kumar
David Hildenbrand
Daniel Verkamp
Jeff Moyer
Ondrej Mosnacek
Hridya Valsaraju
Casey Schaufler
Daniel Borkmann
Maciej Fijalkowski
Song Liu
Kuppuswamy Sathyanarayanan
Sameer Rahmani
Tiezhu Yang
Eric Hankland
Ben Gardon
Zhuang Yanying
Jeremy Cline
Harini Katakam
Moritz Fischer
Max Filippov
Tetsuo Handa
Dilip Kota
Robert Milkowski
Nikhil Mahale
Israel Rukshin
Dai Ngo
Matt Coffin
Mikita Lipski
Yong Zhao
Zhiqiang Liu
Ridge Kennedy
Srinivas Kandagatla
Shubhrajyoti Datta
Manish Narani
Oder Chiou
Yury Norov
Alexey Dobriyan
Steven Price
Andrew Morton
Lu Shuaibing
Manfred Spraul
Davidlohr Bueso
Gang He
Andrii Nakryiko
Michael Chan
Alexei Starovoitov
Michal Rostecki
Nicolin Chen
Helge Deller
Mordechay Goodstein
Emmanuel Grumbach
