author,commits,fixes,bugs,sign-off,test,review,report
Linus Torvalds,29309,46,11,52740,20,1,248
Takashi Iwai,7481,275,124,13433,61,235,35
Mark Brown,7407,12,0,25621,35,209,35
Arnd Bergmann,7132,1680,65,7187,17,513,278
Al Viro,6760,22,9,8860,1,2,158
Ingo Molnar,5825,2,0,25773,55,397,395
Christoph Hellwig,5551,120,45,7597,15,3404,203
Chris Wilson,5471,880,673,6756,70,2665,62
Thomas Gleixner,5100,180,74,11910,20,752,78
Russell King,5014,122,31,9879,80,8,244
Johannes Berg,4483,164,49,7331,18,503,218
Geert Uytterhoeven,4303,480,0,5513,178,1371,283
Tejun Heo,4212,98,68,6029,4,92,28
Hans Verkuil,4103,28,15,7982,43,197,54
Dan Carpenter,3797,1164,9,3844,1,375,1359
Eric Dumazet,3740,734,276,4086,34,217,151
Kuninori Morimoto,3577,30,5,3637,44,3,18
Olof Johansson,3564,21,0,4345,39,22,50
Dave Airlie,3546,9,0,5835,12,95,23
Alex Deucher,3478,29,1,15279,4,3915,2
Linus Walleij,3408,113,71,9546,184,798,5
Daniel Vetter,3351,80,30,11101,8,1626,30
Trond Myklebust,3290,175,60,6003,0,8,14
Joe Perches,3125,11,2,3153,0,4,106
Ben Skeggs,3121,6,1,4431,3,25,1
Axel Lin,2933,37,2,2947,0,35,13
Peter Zijlstra,2732,193,106,6111,18,38,142
David Howells,2484,185,164,2962,11,77,31
Andy Shevchenko,2334,147,58,3066,53,1108,23
Bjorn Helgaas,2320,46,13,4634,3,42,20
Wolfram Sang,2269,46,8,4680,191,313,25
Julia Lawall,2226,29,0,2296,0,5,107
Tony Lindgren,2183,114,70,6097,241,49,62
Johan Hovold,2154,425,24,2639,2,276,45
Fabio Estevam,2136,49,2,2173,85,531,32
Randy Dunlap,2111,103,2,2347,101,61,487
Jens Axboe,2090,142,66,9528,19,78,40
Thierry Reding,2089,50,12,4201,126,367,22
Masahiro Yamada,2083,106,68,2530,1,61,26
Stephen Hemminger,1976,38,21,2638,4,47,32
Andi Kleen,1965,17,9,3146,13,125,72
Viresh Kumar,1949,63,32,2170,32,483,20
Wei Yongjun,1940,316,1,1999,5,3,9
Adrian Bunk,1927,0,0,2469,3,0,68
Jiri Olsa,1905,66,21,2117,75,189,44
Guenter Roeck,1891,198,26,3926,210,1260,193
Jean Delvare,1872,40,2,2790,25,329,37
Florian Fainelli,1856,390,189,2360,84,1032,20
Dmitry Torokhov,1855,43,14,5594,8,89,46
Andrew Morton,1794,23,0,49109,7,679,111
Herbert Xu,1770,109,56,7810,1,0,9
Benjamin Herrenschmidt,1738,29,12,4817,16,14,36
Stephen Boyd,1715,83,28,3384,46,579,34
Ben Dooks,1713,5,0,2354,4,2,8
Dan Williams,1709,143,104,2715,41,91,30
Kees Cook,1616,84,38,2035,44,511,38
Chuck Lever,1615,110,81,1632,26,131,23
Jan Kara,1604,38,12,2338,6,753,25
Felipe Balbi,1581,16,11,6178,63,262,26
Michael Ellerman,1574,172,20,6911,30,12,64
Maxime Ripard,1529,94,44,3719,30,62,6
Peter Ujfalusi,1521,35,15,1559,61,51,17
Borislav Petkov,1519,33,12,2952,100,509,85
Krzysztof Kozlowski,1504,94,15,2146,83,608,42
Tomi Valkeinen,1496,12,0,3093,12,143,16
Joerg Roedel,1495,62,32,2903,64,44,9
Jeff Layton,1457,18,6,1563,6,505,21
Ian Abbott,1444,22,1,1473,2,3443,10
Marc Zyngier,1430,76,31,2521,53,299,26
Will Deacon,1417,64,17,3470,114,240,55
Jiri Slaby,1386,24,4,1429,13,10,57
Larry Finger,1377,36,14,1741,85,8,37
Alexandre Belloni,1363,37,8,2617,24,48,10
Jes Sorensen,1358,4,0,1406,2,4,10
Adrian Hunter,1304,69,28,1374,4,16,21
Rob Herring,1300,58,32,2456,3,2166,44
David Woodhouse,1298,5,1,3707,5,23,7
Alan Stern,1297,13,9,1359,9,22,39
Len Brown,1294,5,2,4056,4,28,5
Jani Nikula,1291,75,30,2672,20,739,7
Jiri Pirko,1277,103,54,2210,4,247,16
Felix Fietkau,1273,49,13,1887,5,0,14
Alexey Dobriyan,1270,7,1,1363,8,12,13
Boris Brezillon,1244,116,56,1921,8,354,3
Dave Chinner,1237,5,1,2155,15,1152,32
Daniel Borkmann,1233,340,58,3235,11,11,34
Antti Palosaari,1206,4,4,1371,62,145,8
Jakub Kicinski,1201,155,44,1553,12,453,29
Emmanuel Grumbach,1197,84,31,2392,4,329,14
Malcolm Priestley,1193,1,1,1194,2,0,2
Johan Hedberg,1177,0,0,2255,5,0,0
Chris Mason,1169,4,1,3244,12,12,20
Paul Gortmaker,1162,12,3,1498,23,34,47
Florian Westphal,1157,204,41,1196,6,28,25
Alex Elder,1153,0,0,1538,3,724,13
Steve French,1151,7,2,2687,1,3,2
Marcel Holtmann,1139,4,1,4060,28,25,21
Ard Biesheuvel,1129,102,55,1318,93,191,23
Lee Jones,1127,6,1,3518,12,1,10
Josef Bacik,1116,31,16,1795,5,355,11
Guennadi Liakhovetski,1115,2,0,1541,30,20,34
Philipp Zabel,1115,38,11,1652,69,181,3
Matthew Wilcox,1114,28,16,1315,1,169,15
Michael Chan,1079,70,57,1581,1,291,2
Masami Hiramatsu,1078,65,41,1106,72,200,15
Jaegeuk Kim,1050,19,1,2567,2,14,2
Miklos Szeredi,1038,89,41,1637,3,47,12
David Sterba,1029,18,5,3415,26,1346,28
Vinod Koul,1019,17,3,4065,22,123,8
Simon Ho,1018,25,6,1,0,0,0
Stephen Rothwell,1017,42,0,1108,22,18,756
Simon Horman,1013,25,6,5764,114,1202,28
Bob Moore,981,3,1,1407,0,0,0
Michal Simek,975,9,5,1448,76,34,10
Sascha Hauer,975,12,3,1994,26,55,10
Eric Biggers,971,208,22,993,18,37,58
David Brown,970,0,0,246,6,1,1
Roland Dreier,949,4,0,3717,7,8,31
Thomas Petazzoni,941,70,21,1025,68,103,13
Martin Schwidefsky,939,26,11,5006,2,68,7
Aaro Koskinen,937,30,1,963,130,13,50
Tomas Winkler,937,10,4,1482,1,15,1
Paolo Bonzini,936,26,2,3435,5,193,11
Artem Bityutskiy,931,0,0,2523,20,5,9
Anton Blanchard,921,22,5,1022,13,0,40
Akinobu Mita,912,12,4,914,8,29,10
Marek Szyprowski,901,65,12,1160,169,35,57
Heiner Kallweit,898,83,55,915,5,19,17
Chao Yu,897,37,17,938,1,722,3
Greg Ungerer,895,0,0,1147,10,11,5
Christoph Lameter,895,5,1,936,4,165,7
Arvind Yadav,879,6,0,879,0,0,0
Paul Burton,876,114,34,1473,1,91,1
Andrew Lunn,849,76,40,1000,150,1227,31
Ulf Hansson,844,43,18,3952,4,275,8
Rex Zhu,837,0,0,859,1,138,0
Jiri Kosina,822,33,1,4883,33,20,13
Stefan Richter,821,1,1,1215,2,6,21
Nicolas Pitre,810,7,3,1100,24,83,4
Fabian Frederick,809,4,0,809,0,0,4
Takashi Sakamoto,808,84,64,808,13,153,3
Lorenzo Bianconi,802,142,35,816,3,6,3
Maarten Lankhorst,795,58,20,970,8,769,32
Ido Schimmel,794,179,79,1413,25,478,26
Kalle Valo,794,6,1,7725,19,34,21
Catalin Marinas,770,44,15,2175,41,439,27
Brian Norris,759,75,9,1953,46,120,23
Grant Likely,741,0,0,1812,28,80,7
Christophe Leroy,739,137,47,863,10,49,12
Mika Westerberg,738,52,36,823,140,392,30
Charles Keepax,738,42,14,817,14,65,6
Daniel Mack,737,10,3,753,66,22,7
Hugh Dickins,734,38,2,849,31,5,43
Ming Lei,727,73,22,749,83,207,32
Paulo Zanoni,727,19,4,822,50,654,18
Gustavo Padovan,726,1,1,1130,15,121,2
Sakari Ailus,723,29,13,1415,7,35,7
Ilya Dryomov,712,25,14,1222,2,70,5
Vineet Gupta,709,12,3,1019,4,4,7
Mark Rutland,706,62,2,759,104,218,50
Mike Rapoport,701,13,4,759,6,64,4
Mel Gorman,699,15,13,794,10,21,13
Sven Eckelmann,689,101,14,973,1,8,19
Hannes Reinecke,682,33,9,683,29,1853,16
Nicholas Bellinger,653,2,0,1916,4,29,0
Heiko Stuebner,647,34,9,2039,228,222,1
Andreas Gruenbacher,645,17,4,495,0,18,7
Nicholas Piggin,645,81,16,649,43,85,9
Jacob Keller,643,17,5,681,1,4,1
Alexei Starovoitov,641,117,74,2054,27,1,43
Alexander Aring,641,4,3,674,5,0,6
Ezequiel Garcia,638,22,4,766,99,46,11
Marek Vasut,628,15,4,671,53,243,10
Mikulas Patocka,625,58,18,648,10,19,41
Bjorn Andersson,616,64,25,1381,33,417,10
Bartosz Golaszewski,610,44,16,765,21,36,2
Sagi Grimberg,610,24,10,866,14,760,23
Xin Long,603,207,95,614,21,37,6
Srinivas Kandagatla,603,25,11,900,33,8,9
Lucas Stach,602,33,10,728,23,157,5
Oliver Neukum,601,15,3,596,1,5,16
Archit Taneja,596,5,1,823,26,192,3
Dave Jones,594,0,0,1034,25,1,197
Masanari Iida,593,5,0,576,0,0,8
Yoshihiro Shimoda,590,77,40,680,47,123,20
Jerome Brunet,588,100,39,687,30,71,1
Mike Christie,588,4,3,744,8,516,12
Helge Deller,583,28,18,839,18,0,5
Daniel Lezcano,582,6,3,1323,8,119,13
Richard Weinberger,581,53,18,1209,17,59,26
Alexander Shiyan,580,3,0,579,10,1,5
Michal Kazior,577,32,20,589,2,7,3
Shaohua Li,576,9,6,969,3,34,10
Rasmus Villemoes,575,16,3,579,0,5,10
Jason Gunthorpe,571,82,21,2660,36,338,21
Rob Clark,571,9,2,1481,40,215,17
Eric Sandeen,570,6,0,614,4,200,19
Nikolay Borisov,569,29,6,572,8,388,17
Sergio Paracuellos,563,9,7,563,0,2,0
